ID,Date,Title,Description,URL,Actors,Writer,Gap
19,01/24/1974,Deadly Honeymoon,A honeymoon turns nightmarish as a woman realises her husband to be culpable of the murders of his previous wives - during their honeymoon,https://www.cbsrmt.com/episode/19-deadly-honeymoon.html,"67,68,43,29",4,1
20,01/25/1974,Speak of the Devil,A pre-wedding spiritual seance leads to a young woman being tortured by a demon.,https://www.cbsrmt.com/episode/20-speak-of-the-devil.html,"69,8,35,38",38,1
21,01/26/1974,The Ring of Truth,A tortured story about a father's coercion to get his daughter to testify against her beloved in a homicide by vehicle case.,https://www.cbsrmt.com/episode/21-the-ring-of-truth.html,"1,49,62,38,7",4,1
22,01/27/1974,Time and Again,A clockmaker comes across a mysterious clock that can give him an additional hour every day. All it needs is a little blood in return.,https://www.cbsrmt.com/episode/22-time-and-again.html,"70,71,35,38",38,1
23,01/28/1974,Three Women,A writer is pressed by his publisher to alter the ending of his book in order to take fuller advantage of the character of his heroine. The writer hesitates with the premonition that the character crafted by him might actually be alive,https://www.cbsrmt.com/episode/23-three-women.html,"72,3,51,43,30",43,1
24,01/29/1974,The Man Who Heard Voices,Can euthanasia ever be completely willed by the sufferer? A well-respected lawyer's life is disrupted by the voice of his wife whom he had killed in mercy and threatens the affair he had started after his wife took sick,https://www.cbsrmt.com/episode/24-the-man-who-heard-voices.html,"9,73,74,2",13,1
25,01/30/1974,Mother Love,An unusual favor and $6000 are all a fortune teller needs to grant the wish of a desperate woman to conceive,https://www.cbsrmt.com/episode/25-mother-love.html,"75,76,29,2,10,3",77,1
26,01/31/1974,The Man Who Asked for Yesterday,"A man is murdered by his wife. After death, he wishes to be granted the chance to live the finale of his life over again",https://www.cbsrmt.com/episode/26-the-man-who-asked-for-yesterday.html,"49,58,10,12,17",38,1
27,02/01/1974,Dead Ringer,A woman accidentally comes across a dead ringer for her husband. She decides to enlist his cooperation to help dispose of her husband,https://www.cbsrmt.com/episode/27-dead-ringer.html,"2,47,9,58,16",61,1
28,02/02/1974,A Ghostly Game of Death,A prospective buyer for an ancient dwelling recruits the services of a ghost hunter to get rid of the spirit of the wife of a sea captain.,https://www.cbsrmt.com/episode/28-a-ghostly-game-of-death.html,"44,12,78,63,17",61,1
29,02/03/1974,The Sign of the Beast,An arrogant archaeologist disregards tribal customs and extends praise. But her motives are less than honourable and involves robbing old tribal artifacts. But what she forgets to count in is divine retribution.,https://www.cbsrmt.com/episode/29-the-sign-of-the-beast.html,"79,39,22,7",13,1
30,02/04/1974,Here Goes the Bride,The ghost of a former wife killed under intriguing conditions reveals herself to the new bride in the husband's estate.,https://www.cbsrmt.com/episode/30-here-goes-the-bride.html,"34,68,26,35,38",38,1
31,02/05/1974,The Lady Was a Tiger,A femme fatale double agent frames an unemployed reporter for homicide in Paris.,https://www.cbsrmt.com/episode/31-the-lady-was-a-tiger.html,"63,3,38,80,30",61,1
32,02/06/1974,After the Verdict,An upcoming attorney discovers to his dismay that the man he acquitted of homicide is indeed culpable. Now he must find a way to straighten out the facts.,https://www.cbsrmt.com/episode/32-after-the-verdict.html,"25,45,35,56,16,32",4,1
33,02/08/1974,Conspiracy to Defraud,The hero is a federal detective sent to France in order to track down heroin supplies. The villain is a Greek drug dealer who is not ready to even spare his girlfriend.,https://www.cbsrmt.com/episode/33-conspiracy-to-defraud.html,"58,73,81,51,2,17",23,1
34,02/09/1974,The Deadly Hour,"A self-doubting man is nearly driven to insanity by the infidelity of his wife and stops speaking. Years later in a counselling session, he admits to having confined the adulterous pair in a cavern and hear them meet their death",https://www.cbsrmt.com/episode/34-the-deadly-hour.html,"27,6,33,82",43,1
35,02/10/1974,Dead Man's Mountain,An architect with a strange passion to create a cursed mountain. Any who attempt to climb it lose their beloved,https://www.cbsrmt.com/episode/35-dead-man-s-mountain.html,"83,35,63,16",13,1
36,02/12/1974,A Dream of Death,Reincarnation beliefs of a college professor are accompanied by the dread of having broken an ancient agreement,https://www.cbsrmt.com/episode/36-a-dream-of-death.html,"84,6,10,85,16",13,1
37,02/13/1974,Dig Me Deadly,Archaeology students dig out an ancient decomposed corpse of a woman attached to a skeleton and a female detective is recruited to reveal the mystery behind it.,https://www.cbsrmt.com/episode/37-dig-me-deadly.html,"86,29,12,87,57,66",54,1
38,02/14/1974,Under Grave Suspicion,A bitter fight between a couple. A sea side cottage. And turbulent weather that threatens to turn into a hurricane.,https://www.cbsrmt.com/episode/38-under-grave-suspicion.html,"12,88,16,63",89,1
39,02/16/1974,A Lady Never Loses Her Head,An American lady marries a blue-blooded British man and arrives at his manor house. There she is troubled by a headless apparition on horseback who looks unnervingly familiar in the mirror...,https://www.cbsrmt.com/episode/39-a-lady-never-loses-her-head.html,"14,8,35,38,90",38,1
40,02/17/1974,The Walking Corpse,An unfortunate American couple is caught up in a coup by a Banana Republic despot who intends to take over the little island with a horde of zombies.,https://www.cbsrmt.com/episode/40-the-walking-corpse.html,"25,73,91,20,38,76",38,1
41,02/18/1974,Blizzard of Terror,A bitter couple gets caught up in a deadly storm and seek shelter in a remote cabin. But there is someone already there. And that someone might just be a homicidal maniac.,https://www.cbsrmt.com/episode/41-blizzard-of-terror.html,"79,9,2",28,1
42,02/19/1974,Sea Fever,A fearsome captain of the seas inflicts the ultimate punishment for people who even dare to look at his wife. But some people can't contain their passions for her.,https://www.cbsrmt.com/episode/42-sea-fever.html,"15,92,6,2,63",38,1
43,02/21/1974,The Walls of Jericho,A modest attender at a men's club discovers his extraordinary gift of bringing characters to life from his imagination - literally. But they do exhibit a tendency of being out of control.,https://www.cbsrmt.com/episode/43-the-walls-of-jericho.html,"16,60,38,12,21,93",43,1
44,02/22/1974,The Horla,Maupassant's classic story about a man obsessed and terrorized by a presence that engulfs him. He is also convinced of a dreadful evil concealed in a ship anchored at the harbour.,https://www.cbsrmt.com/episode/44-the-horla.html,"58,35,16,7",13,1
45,02/24/1974,The Horse That Wasn't for Sale,"Hereditary equestrian passion notwithstanding, a woman has to put up her horses for sale after her father's death. All except one that is fabled to be the best to the dismay of her dad's rivals.",https://www.cbsrmt.com/episode/45-the-horse-that-wasn-t-for-sale.html,"94,64,63,95",4,1
46,02/26/1974,The Edge of Death,A farmer can't do anything but watch helplessly as his wife is slowly consumes by an undefined illness. One day he finds a strange case and an even stranger person without a mouth seeking it desperately. He becomes convinced that the case contains a miracle remedy that can save his wife.,https://www.cbsrmt.com/episode/46-the-edge-of-death.html,"5,6,38,2",96,1
47,02/28/1974,A Choice of Witnesses,The tables are turned on a seasoned blackmailer as his past victims team up to create a deadly plan to ensnare him.,https://www.cbsrmt.com/episode/47-a-choice-of-witnesses.html,"58,10,12,16",4,1
48,03/02/1974,Out of Sight,"A superstitious astronaut believes their space flight to be cursed due to her very presence. What's more, they are being tortured by invisible aliens!",https://www.cbsrmt.com/episode/48-out-of-sight.html,"97,21,85,82",38,1
49,03/03/1974,Prognosis Negative,A mentally disturbed soldier is recruited by a fake medium to take her game to the next level. The military conducts a desperate search for the missing psychopath. She might not have bargained for what she had let herself into.,https://www.cbsrmt.com/episode/49-prognosis-negative.html,"63,35,29,95,55",23,1
50,03/04/1974,This Will Kill You,Negative reviews can get you into trouble - especially if the book under review is written by a demon-worshipper! A journalist finds this out to his own cost as the inflamed writer puts a death curse on him. He can only be rid of the curse if he passes it on to another.,https://www.cbsrmt.com/episode/50-this-will-kill-you.html,"27,9,10,3,17",61,1
51,03/05/1974,A Long Time to Die,"The grass is never greener on the other side and swapping lives is a dangerous practice. Unfortunately, a criminologist and an American Indian discover this too late as their swapped circumstances threaten to engulf them. One needs to depose before a tribal council and the other must do it in front of the Congress.",https://www.cbsrmt.com/episode/51-a-long-time-to-die.html,"49,64,98,29,71",13,1
52,03/06/1974,The Sending,Innocent co-eds at a college get their souls sold to the demon by their professor. Black magic is afoot as the professor barters their souls to extend his wife's life.,https://www.cbsrmt.com/episode/52-the-sending.html,"49,6,25,99",100,1
53,03/07/1974,The Creature from the Swamp,A man lets himself into more trouble than bargained for when he rescues a woman from a swamp and she is apparently pursued by a swamp creature.,https://www.cbsrmt.com/episode/53-the-creature-from-the-swamp.html,"82,30,16,38,2",38,1
54,03/11/1974,The Thing in the Cave,Every uncharted cavern has its own pasts and mysterious. Two couples get trapped in one with an infamous inhabitant.,https://www.cbsrmt.com/episode/54-the-thing-in-the-cave.html,"26,68,6,91",38,1
55,03/12/1974,A Sacrifice in Blood,"An archaeologist might come to regret their decision when they adopt a boy found in an ancient, infamous Aztec place of worship.",https://www.cbsrmt.com/episode/55-a-sacrifice-in-blood.html,"12,101,102,38",103,1
56,03/13/1974,A Little Night Murder,All promises should not be kept. A serial killer stalks town women to fulfill his childhood promise to kill them.,https://www.cbsrmt.com/episode/56-a-little-night-murder.html,"82,25,73,35,16",13,1
57,03/14/1974,The Fall of the House of Usher,"The evergreen horror tale by Edgar Allan Poe tells the story of a heir driven insane by the ancient house of Usher, which he believes to be sentient. The ultimate macabre phantasmagoria winds with him burying his cataleptic sister alive.",https://www.cbsrmt.com/episode/57-the-fall-of-the-house-of-usher.html,"104,16,6,64",28,1
58,03/18/1974,Sea of Troubles,A trans-Atlantic voyage on a ship is also the scene of a murder conspiracy where a man enlists the help of his brother to kill his wife for her wealth.,https://www.cbsrmt.com/episode/58-sea-of-troubles.html,"95,7,38,35,105",4,1
59,03/19/1974,Frankenstein Revisited,The 400th anniversary coverage of Baron Von Frankenstein might just be a bad idea for a news item. Especially since the good doctor and his creation are eager to attend.,https://www.cbsrmt.com/episode/59-frankenstein-revisited.html,"12,63,10,2,68",103,1
60,03/20/1974,The Ghost at the Gate,"A ghostly, two-timing tale of romance where a man continues his affair with his wife and his mistress - even beyond death.",https://www.cbsrmt.com/episode/60-the-ghost-at-the-gate.html,"106,107,30,33",43,1
61,03/21/1974,Ordeal by Fire,A millionaire and his daughter are subjected to third degree burns when they refuse to pay a million dollars to a man with a mysterious control over elemental fire. The daughter asks her beau to aid her father who has become paranoid about security and changed their home to a fortress.,https://www.cbsrmt.com/episode/61-ordeal-by-fire.html,"49,108,95,21,93",61,1
62,03/25/1974,The Diary of a Madman,This namesake of the famous Nikolai Gogol story deals with the confession of a magistrate to multiple arbitrary homicides.,https://www.cbsrmt.com/episode/62-the-diary-of-a-madman.html,"9,10,16,63",13,1
63,03/26/1974,Death by Whose Hands,"Set nearly a hundred years back, this story is about a prosthetic surgeon's transplant of the hand of a prodigious musician to his competitor with disastrous repercussions.",https://www.cbsrmt.com/episode/63-death-by-whose-hands.html,"109,85,6,3,110",38,1
64,03/27/1974,It's Simply Murder,"A hen-pecked wimp fantasizes about running away from his despotic wife. Unwittingly, one weekend he gets wound up in a plot to murder her, participate in a bank robbery and get away with a woman he falls for.",https://www.cbsrmt.com/episode/64-it-s-simply-murder.html,"111,35,7,38,112",38,1
65,03/28/1974,The Unearthly Gift,"A modest lumberjack camp cook has the gift of clairvoyance, but her visions don't always predict nice things. After a particularly nasty vision involving a newcomer at the camp, she decides to interfere with fate to forestall a death.",https://www.cbsrmt.com/episode/65-the-unearthly-gift.html,"113,42,20,29,38",38,1
66,04/01/1974,The Black Cat,A hasty marriage for wealth is rued by a man who finds both his wife and her cat repulsive. He is slowly convinced by the cat that he will kill his wife.,https://www.cbsrmt.com/episode/66-the-black-cat.html,"27,6,114,16,10",13,1
67,04/02/1974,The Pharoah's Curse,A treasure hunt in an Egyptian tomb becomes a nightmare as an archaeologist and a singer become the victim of an ancient curse.,https://www.cbsrmt.com/episode/67-the-pharoah-s-curse.html,"14,51,38,7,64",38,1
68,04/03/1974,Die! You're on Magic Camera,A young photographer discovers a strange camera that can photograph incidents yet to happen. But he is persuaded by its creators. And the people whose futures have already been predicted by the camera.,https://www.cbsrmt.com/episode/68-die-you-re-on-magic-camera.html,"8,26,47,63,45",61,1
69,04/04/1974,The Thing Inside,A couple buy a curious paper weight made from glass in a curio store. The artist husband soon gets obsessed with it and the wife suspects his involvement in the death of an avaricious developer. She also thinks he is being controlled by an evil spirit.,https://www.cbsrmt.com/episode/69-the-thing-inside.html,"12,35,91,2",100,1
70,04/08/1974,The Locked Room,The bride's mother plays villain in the life of a newly wed couple. She is convinced the boy has married her not-too-beautiful daughter simply for her wealth and plans a nasty surprise for him.,https://www.cbsrmt.com/episode/70-the-locked-room.html,"82,42,115,87",4,1
71,04/09/1974,The Murder Museum,A wax museum made especially for infamous criminals is an eerie concept. Things become creepy when it becomes the place for the re-enactment of a past murder as an exhibit protests his inclusion in the museum.,https://www.cbsrmt.com/episode/71-the-murder-museum.html,"68,16,6,2",4,1
72,04/10/1974,Out of Focus,"An advertising professional makes futile attempts to take the pictures of a beautiful model as all her photos turn out blank. In the process, he falls hopelessly in love with her until her real nature is revealed.",https://www.cbsrmt.com/episode/72-out-of-focus.html,"63,30,73,95,7,12",38,1
73,04/11/1974,Strange Company,A wealthy aged woman is terrorized by invisible visitors. Her hard-hearted nephew and his wife can't care less and slowly decide to take advantage of her apparent hallucinations to steal from her.,https://www.cbsrmt.com/episode/73-strange-company.html,"35,116,51,17",77,1
74,04/15/1974,Only the Dead Remember,Two decades is a small time for Korean war veterans as they come together to plot the murder of a fellow prisoner of war who foiled their escape attempt from a POW camp.,https://www.cbsrmt.com/episode/74-only-the-dead-remember.html,"25,49,51,35,117",13,1
75,04/16/1974,Men Without Mouths,"A gangster adopts the daughter of a dead comrade and sees her off faithfully until her happy marriage. With approaching old age however, he is tormented with visions of men without mouths despite the sincere aid from his sworn daughter.",https://www.cbsrmt.com/episode/75-men-without-mouths.html,"118,119,85,7",4,1
76,04/17/1974,The Horror Within,"A young man turns religious after the death of his beloved and seeks the power to forestall pain and suffering in the future. As time heals his grief, his desire to wield his powers grow aided by a swaying faith.",https://www.cbsrmt.com/episode/76-the-horror-within.html,"102,120,45,16,95",103,1
77,04/18/1974,A Portrait of Death,A man suddenly achieves the power to become a great painter. But all his subjects seem to meet their ends quite as suddenly. His step brother starts to worry as the man plans to paint his wife in his next session.,https://www.cbsrmt.com/episode/77-a-portrait-of-death.html,"98,6,82,3,20",13,1
78,04/22/1974,The Wishing Stone,A young girl believes an angel gave her a wishing stone. But her wishes don't turn out quite the way she intended.,https://www.cbsrmt.com/episode/78-the-wishing-stone.html,"44,65,57,82,16",38,1
79,04/23/1974,The Ghost Driver,A driver killed the proprietors of a country inn. Now his ghost is after the present proprietors along with the residents of the inn.,https://www.cbsrmt.com/episode/79-the-ghost-driver.html,"74,60,8,2,29,27",28,1
80,04/24/1974,The Hand,A postal surprise in the form of a human hand leaves a man convinced of its apocalyptic portents.,https://www.cbsrmt.com/episode/80-the-hand.html,"121,38,122,93",38,1
81,04/25/1974,Sunset to Sunrise,A daughter remembers how her mother turned into a vampire.,https://www.cbsrmt.com/episode/81-sunset-to-sunrise.html,"6,35,63,123",43,1
82,04/29/1974,All Living Things Must Die,A lonely woman is left with just the houseplants for her company under the rules of her tyrannic husband. But he goes too far in trying to take even the plants away from her and the vegetation isn't willing to comply.,https://www.cbsrmt.com/episode/82-all-living-things-must-die.html,"94,9,12",43,1
83,04/30/1974,The Venus d'Ile,"Venus has always been a tricky, tempestuous goddess for those who are aware of mythology. An unlucky gambler consents to a marriage for wealth and carelessly places the wedding ring on a Venus statuette. The situation turns tricky when the goddess comes to life and asks for his heart or his life.",https://www.cbsrmt.com/episode/83-the-venus-d-ile.html,"27,47,10,7,16",13,1
84,05/01/1974,The Death Bell,Family genealogy research gets a man into trouble with the IRA who believe he is from the police.,https://www.cbsrmt.com/episode/84-the-death-bell.html,"84,6,93,63",38,1
85,05/02/1974,Dracula,The classic Bram Stoker tale retold. A young girl is progressively being drained of her life-force and must stake the responsible vampire to save herself.,https://www.cbsrmt.com/episode/85-dracula.html,"94,6,58,68,109",28,1
86,05/06/1974,Murder with Malice,An attempted patricide by the son who tries to hypnotize his sister to carry out the actual deed.,https://www.cbsrmt.com/episode/86-murder-with-malice.html,"124,105,8,85",38,1
87,05/07/1974,The Suicide Club,"Russian roulette, anyone? A high stake gambler finds the game getting the better of him as his new club demands him to murder someone, or choose suicide.",https://www.cbsrmt.com/episode/87-the-suicide-club.html,"125,33,7,6,126",28,1
88,05/08/1974,The Breaking Point,A thought projection experiment takes a deadly turn as a scientist takes an extreme step and subjects his wife's subconscious to the process to persuade her to kill him!,https://www.cbsrmt.com/episode/88-the-breaking-point.html,"3,35,98",89,1
89,05/09/1974,A Tiny Drop of Poison,A charming politician hides her dark part as a hippie radical and a murderer. But her game seems up as her husband is allocated the responsibility of cracking the case.,https://www.cbsrmt.com/episode/89-a-tiny-drop-of-poison.html,"127,58,16,95",13,1
90,05/13/1974,The Lodger,A boarding lodge matron lives in fear due to a series of cruel killings of women in the neighbourhood and a new lodger who she thinks is responsible.,https://www.cbsrmt.com/episode/90-the-lodger.html,"14,45,16,60,68",28,1
91,05/14/1974,Voices of Death,The apparition of a dead producer Peter Truro returns to haunt the actor Jason Phillips through his television set. The ghost repeatedly asks him to murder his wife Claire. The irate Jason is forced to consult a medium and a psychiatrist but soon gives way to believing the apparition. He must utilize all his resources to save Claire every time Truro aggressively frames the circumstances.,https://www.cbsrmt.com/episode/91-voices-of-death.html,"49,10,12,91",61,1
92,05/15/1974,The Forever Man,"A luckless man is offered every material comfort in the world through free cars, houses and monetary wealth by a millionaire. The latter only wants to swap their souls in exchange so he can regain his youth.",https://www.cbsrmt.com/episode/92-the-forever-man.html,"58,35,63,7,2",13,1
93,05/16/1974,The Trouble with Ruth,"Despite her best attempts, a kleptomaniac falls back into her old ways and is found out by some thieves. They blackmail her to rob a diamond pin or they will reveal her true nature to her husband.",https://www.cbsrmt.com/episode/93-the-trouble-with-ruth.html,"6,20,51,82,17",4,1
94,05/20/1974,The Crack in the Wall,"A house fire claims the life of the young daughter of the house. Her bereft parents move to a new apartment but cannot seem to repair a hole in their basement wall. Gradually, cries of a voice that seems startlingly like their daughter's begins to flow through the hole.",https://www.cbsrmt.com/episode/94-the-crack-in-the-wall.html,"128,16,57,129,130",23,1
95,05/21/1974,The Longest Knife,A mother makes a promise to avenge her son who has been murdered by a third world dictator.,https://www.cbsrmt.com/episode/95-the-longest-knife.html,"35,6,82,2,17",13,1
96,05/23/1974,The Bleeding Statue,"A magician disappoints his heirs by leaving his properties with his daughter and also promises to safeguard her against all harm through a statue in his estate courtyard. On her arrival in the estate, she finds his promise true to his word.",https://www.cbsrmt.com/episode/96-the-bleeding-statue.html,"119,58,25,90,71",38,1
97,05/27/1974,Mirror for Murder,A bored wife is tired of her menagerie chores and her husband's job priorities. She starts to believe her mirror reflection and plans to reclaim her self.,https://www.cbsrmt.com/episode/97-mirror-for-murder.html,"128,129,63,16",13,1
98,05/29/1974,The Phantom Lullaby,The caring parents of a young woman rent her a luxurious house to recuperate from a bitter affair and an abortion. But trouble seems to shadow her footsteps as a resident spirit in the apartment haunts her.,https://www.cbsrmt.com/episode/98-the-phantom-lullaby.html,"131,64,29,87,16",43,1
99,05/30/1974,Dressed to Kill,An unemployed actor plans a bizarre drama of enacting his own death and consequently impersonating his wife to claim the insurance money.,https://www.cbsrmt.com/episode/99-dressed-to-kill.html,"132,84,7,35,95",77,1
100,06/03/1974,To Kill with Confidence,"While traveling across the country, a couple of newlyweds are forced to stop at a nearby town due to engine trouble. The wife makes a quick visit to the local stores to grab lunch and comes back to find that both her husband and the repair shop have mysteriously vanished.",https://www.cbsrmt.com/episode/100-to-kill-with-confidence.html,"6,51,9,17",13,1
101,06/04/1974,An Occurrence at Owl Creek Bridge,"To escape an appointment with the gallows at Owl Creek Bridge, a confederate spy embarks on a dangerous journey through hostile territory in order to reach Dixie.",https://www.cbsrmt.com/episode/101-an-occurrence-at-owl-creek-bridge.html,"44,122,82,2,63",13,1
102,06/06/1974,Deadly Darling Dolores,A conspiracy to destroy all animal life on the planet is exposed by a scientist.,https://www.cbsrmt.com/episode/102-deadly-darling-dolores.html,"98,6,95,3",13,1
103,06/10/1974,A Bargain in Blood,"When a strange turn of events allows a young man to switch illnesses with the diseased, a young man uses his gift to win the approval of his sweetheart's father.",https://www.cbsrmt.com/episode/103-a-bargain-in-blood.html,"25,49,10,16,82,17",4,1
104,06/12/1974,The Rat,"Enraged by the faithlessness of his wife, a genius scientist creates a highly-evolved rodent and sends it to attack his wife's lover.",https://www.cbsrmt.com/episode/104-the-rat.html,"68,30,12,91",28,1
105,06/13/1974,The House of the Seven Gables,"A fresh take on Nathaniel Hawthorne's classic tale of tragedy shadowing the lives of the manor residents, and the curse visited upon them.",https://www.cbsrmt.com/episode/105-the-house-of-the-seven-gables.html,"27,64,35,69,105",38,1
106,06/17/1974,Three Times Dead,A store-keeper shows his gratitude to the police officer that saves them by giving his wife a magical figurine able to grant three boons.,https://www.cbsrmt.com/episode/106-three-times-dead.html,"63,73,32,7",13,1
107,06/18/1974,Dr. Jekyll and Mr. Hyde,An unforeseen accident gives birth to the evil alter ego of the doctor in charge of the experiment.,https://www.cbsrmt.com/episode/107-dr-jekyll-and-mr-hyde.html,"104,6,90,38",28,1
108,06/20/1974,The Secret Doctrine,"After suffering a devastating rejection at the hands of her favorite actor, an obsessed fan directs her violent rage against her former idol.",https://www.cbsrmt.com/episode/108-the-secret-doctrine.html,"94,122,123,16,8",43,1
109,06/24/1974,Escape! Escape!,Two prisoners escape from detention with the help of a young woman. Trouble begins when they take refuge in a seemingly abandoned house in the woods.,https://www.cbsrmt.com/episode/109-escape-escape.html,"26,16,35,91",77,1
110,06/25/1974,Where Fear Begins,The strange circumstances surrounding her sister's death prompt a young woman to dig deeper. She soon learns that the medication her sibling was taking was prescribed by a mysterious doctor.,https://www.cbsrmt.com/episode/110-where-fear-begins.html,"14,29,83,99,38",4,1
111,06/27/1974,Yesterday's Murder,"Determined to change her fate, a woman is granted the chance to go back in time to set her life in order.",https://www.cbsrmt.com/episode/111-yesterday-s-murder.html,"94,88,130,2",13,1
112,07/01/1974,Hurricane,"A couple take refuge from a storm in a secluded beach house, only to find themselves in the company of two strangers.",https://www.cbsrmt.com/episode/112-hurricane.html,"45,10,82,133",28,1
113,07/03/1974,The Secret Life of Bobby Deland,"A couple suffering from the death of their only child take in a young waif to fill the void in their lives. At first the orphan helps alleviate the woman's migraines however, he later repays their kindness by robbing them blind.",https://www.cbsrmt.com/episode/113-the-secret-life-of-bobby-deland.html,"84,6,55,134,17",43,1
114,07/04/1974,The Young Die Good,"The relationship of a married couple is tested when they transfer next to a strange house and its mysterious resident. The wife sees her as a frail old lady, while her husband sees a beautiful temptress and their clashing views put a strain on their marriage.",https://www.cbsrmt.com/episode/114-the-young-die-good.html,"119,135,85,7",61,1
115,07/08/1974,Too Many Women Can Kill You,An ambitious maid blackmails her employer after witnessing him murder his wife. The man is plagued by the women in his life when even the spirit of his deceased spouse begins to torment him at night.,https://www.cbsrmt.com/episode/115-too-many-women-can-kill-you.html,"9,10,35,93",13,1
116,07/09/1974,And Death Makes Even Steven,"In order to seize control of his father's wealth, a slighted brother plans the murder of his twin whom he believes robbed him of his fortune.",https://www.cbsrmt.com/episode/116-and-death-makes-even-steven.html,"84,58,47,38",38,1
117,07/11/1974,The Devil-God,"After inheriting a sprawling ranch, a young couple discover that the estate is home to a wild and beautiful Palomino stallion. What they don't know is that the horse belongs to a powerful deity who is angered by their attempts to claim the steed as their own.",https://www.cbsrmt.com/episode/117-the-devil-god.html,"34,49,2,93",60,1
118,07/15/1974,The Canterville Ghost,"In this classic tale by Oscar Wilde, a spirit repeatedly attempts to drive away the new owners of his castle and instead, becomes a source of hilarity and amusement.",https://www.cbsrmt.com/episode/118-the-canterville-ghost.html,"64,6,122,63,16",28,1
119,07/17/1974,The Real Printer's Devil,A young couple are delighted to find an inexpensive apartment in Central Park West. Little do they know that their new home is already occupied by an invisible guest.,https://www.cbsrmt.com/episode/119-the-real-printer-s-devil.html,"58,69,35,38",38,1
